county,cases_per_100000,population,partially_vaccinated_percent,fully_vaccinated_percent,2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
Santa Barbara,1611.182081,456373,0.076808838,0.603281666,0.095715588,0.648715427,0.004687055,0.32812383,0.012059559,0.006414128
Madera,2542.335826,160089,0.068400715,0.452104017,0.123558484,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
Placer,2519.016867,400434,0.061192864,0.605816716,0.093817787,0.454599207,0.003313709,0.521039288,0.016793997,0.004253799
Stanislaus,2897.548119,562303,0.089024497,0.483581525,0.128844555,0.492389069,0.003451901,0.484499009,0.011602482,0.008057538
Sutter,3147.134198,105747,0.079355808,0.506393942,0.116883117,0.407255417,0.003189194,0.571592721,0.012217428,0.00574524
Tuolumne,4122.175317,52351,0.059834607,0.471389898,0.122156281,0.393909498,0.004768482,0.581721915,0.01443699,0.005163115
Kings,3967.553885,156444,0.068672331,0.36173913,0.124113475,0.426324069,0.002849912,0.548824696,0.013770776,0.008230546
Fresno,2446.264242,1032227,0.0801509,0.511690675,0.129931973,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691
Napa,1609.715579,139652,0.08523447,0.679200171,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386
Monterey,792.0094845,448732,0.076230575,0.610560188,0.103967168,0.695161753,0.004569218,0.282443586,0.011102774,0.006722669
Lake,3613.324906,64871,0.068669327,0.481340026,0.109791217,0.518568652,0.007184506,0.455469943,0.012980702,0.005796196
Modoc,591.0290237,9475,0.036697248,0.370888342,0.07788162,0.264793921,0.003453834,0.71586461,0.008979968,0.006907668
Sacramento,2440.026148,1567975,0.066134092,0.584636128,0.120679966,0.613562719,0.004529258,0.361067034,0.013598909,0.00724208
Ventura,1447.439862,852747,0.065045654,0.625878422,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411,0.005664282
San Mateo,1046.399683,778001,0.059420186,0.733511329,0.093793747,0.778878346,0.004261846,0.201960716,0.009496301,0.005402791
Humboldt,2624.945935,134098,0.066068588,0.574885098,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
Riverside,2072.771251,2468145,0.074783303,0.517260623,0.131731117,0.529846885,0.003381617,0.450425009,0.009998436,0.006348054
Yolo,1860.812479,223612,0.069733041,0.61938719,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106
Santa Cruz,1110.95296,273999,0.058163023,0.663083301,0.106161841,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103
Orange,1172.642936,3228519,0.065488964,0.63405708,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377
Tulare,2595.046065,484423,0.07449232,0.439248866,0.149489796,0.450045954,0.003288287,0.528161487,0.010198455,0.008305817
Alpine,1163.831692,1117,0.085365854,0.606271777,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
Mariposa,2972.745153,17795,0.145267959,0.35940707,0.112771739,0.39766537,0.003793774,0.578793774,0.015077821,0.004669261
Amador,3423.217669,38531,0.088794311,0.488170451,0.115891742,0.365539813,0.004931851,0.609083572,0.015647418,0.004797346
Sierra,2279.29374,3115,0.036177474,0.501365188,0.087301587,0.378042465,0.006732263,0.591403418,0.013982393,0.009839461
San Luis Obispo,2281.773781,278862,0.067037359,0.571075305,0.098634294,0.552925855,0.004971386,0.422229736,0.01507695,0.004796073
San Bernardino,2000.768468,2217398,0.067551336,0.485055116,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343
Merced,2714.146545,287420,0.100581622,0.426710025,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104
Solano,2158.670133,444255,0.100672702,0.574676761,0.120868278,0.639406053,0.004653264,0.336637895,0.012021741,0.007281046
Glenn,2650.947254,29348,0.053876761,0.471556081,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
Mendocino,2965.886091,88439,0.087586649,0.588375924,0.108843537,0.664097831,0.009090909,0.306114444,0.013636364,0.007060452
Los Angeles,1667.180597,10257557,0.077416119,0.614606362,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
Yuba,3757.094211,79290,0.066350523,0.414502007,0.122516556,0.376896228,0.004161632,0.593233991,0.017116391,0.008591757
Marin,963.9570552,260800,0.053254961,0.772677155,0.090557276,0.823256112,0.004646089,0.157941346,0.009856895,0.004299557
Del Norte,7054.212933,27558,0.073694574,0.404645566,0.110869565,0.408364621,0.006810443,0.564131669,0.013097005,0.007596263
Santa Clara,1050.780525,1967585,0.049446468,0.751391114,0.093169533,0.726386762,0.004748801,0.25226479,0.010732996,0.00586665
Kern,2211.051808,927251,0.073243622,0.437491294,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491
Nevada,3312.734272,98710,0.074223953,0.559076414,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517
Tehama,3583.516734,65885,0.048222429,0.365755132,0.103146157,0.310152797,0.003132505,0.666214194,0.014026661,0.006473844
San Joaquin,2516.532596,782545,0.089513693,0.525216741,0.138419783,0.556064752,0.003671738,0.417894893,0.010107633,0.012260983
